Reference Number,Grid Ref: Easting,Grid Ref: Northing,Number of Vehicles,Accident Date,Time (24hr),1st Road Class,Road Surface,Lighting Conditions,Weather Conditions,Type of Vehicle,Casualty Class,Casualty Severity,Sex of Casualty,Age of Casualty
140000717,429427,433921,2,2014-01-01,14:15:00,A(M),Dry,Daylight: Street lights present,Fine without high winds,Car,Passenger,Slight,Male,28
140012302,430481,433453,1,2014-01-01,00:05:00,Unclassified,Dry,Darkness: Street lights present and lit,Fine without high winds,Taxi/Private hire car,Passenger,Slight,Male,29
140000292,428515,437286,3,2014-01-01,02:20:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver,Slight,Female,21
140000304,429117,439812,1,2014-01-01,01:30:00,Unclassified,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Car,Pedestrian,Serious,Female,34
140000717,429427,433921,2,2014-01-01,14:15:00,A(M),Dry,Daylight: Street lights present,Fine without high winds,Car,Driver,Slight,Male,34
140000809,433295,435556,3,2014-01-01,15:45:00,Unclassified,Wet/Damp,Daylight: Street lights present,Raining without high winds,Car,Driver,Slight,Male,34
140000834,429111,433665,1,2014-01-01,15:37:00,A,Wet/Damp,Daylight: Street lights present,Raining without high winds,Car,Driver,Slight,Female,29
140000977,427125,438261,1,2014-01-01,18:30:00,A,Wet/Damp,Darkness: Street lights present and lit,Raining without high winds,Car,Driver,Slight,Male,24
140001153,440172,433411,2,2014-01-01,11:55:00,A,Wet/Damp,Daylight: Street lights present,Raining with high winds,Car,Passenger,Slight,Male,15
140009655,440329,434718,1,2014-01-01,12:40:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver,Serious,Male,26
140012302,430481,433453,1,2014-01-01,00:05:00,Unclassified,Dry,Darkness: Street lights present and lit,Fine without high winds,Taxi/Private hire car,Passenger,Slight,Female,32
1112091,429175,431904,2,2014-01-01,18:40:00,Unclassified,Wet/Damp,Darkness: Street lights present and lit,Raining without high winds,Car,Driver,Slight,Male,58
140040393,428564,431616,2,2014-01-01,08:30:00,Motorway,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver,Slight,Female,34
140029938,434998,435273,1,2014-01-01,16:20:00,Unclassified,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Pedestrian,Serious,Male,16
140023955,426278,435586,2,2014-01-01,12:25:00,B,Wet/Damp,Daylight: Street lights present,Fine without high winds,Motorcycle over 125cc and up to 500cc,Driver,Slight,Male,29
140001657,428085,432932,1,2014-01-02,12:20:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Car,Pedestrian,Slight,Male,12
140001777,432525,427555,2,2014-01-02,14:15:00,A,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Passenger,Slight,Female,27
140002711,418960,442012,2,2014-01-02,15:30:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Driver,Slight,Female,20
140002825,437937,427455,2,2014-01-03,09:40:00,A,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver,Slight,Female,37
140002796,429792,434446,2,2014-01-03,10:05:00,A,Dry,Daylight: Street lights present,Fine without high winds,Taxi/Private hire car,Driver,Slight,Male,65
140002796,429792,434446,2,2014-01-03,10:05:00,A,Dry,Daylight: Street lights present,Fine without high winds,Taxi/Private hire car,Passenger,Slight,Female,49
140002930,427167,427445,1,2014-01-03,10:25:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Bus or coach (17 or more passenger seats),Passenger,Slight,Female,27
140010999,429817,433660,1,2014-01-03,19:10:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Car,Pedestrian,Serious,Female,27
140004811,431311,427066,2,2014-01-04,18:54:00,A,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Driver,Slight,Male,44
140004100,440983,432067,2,2014-01-04,09:35:00,A,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Driver,Serious,Male,37
140005922,433315,426321,2,2014-01-05,21:25:00,B,Wet/Damp,Darkness: Street lights present and lit,Raining with high winds,Car,Driver,Slight,Female,22
140007139,429389,434938,2,2014-01-06,16:10:00,A,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Pedal cycle,Driver,Slight,Female,21
140007543,441116,449118,2,2014-01-07,02:40:00,A(M),Wet/Damp,Darkness: No street lighting,Fine with high winds,Goods vehicle 7.5 tonnes mgw and over,Driver,Serious,Male,60
140008934,431546,434328,1,2014-01-07,22:45:00,Unclassified,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Taxi/Private hire car,Pedestrian,Serious,Male,26
140007543,441116,449118,2,2014-01-07,02:40:00,A(M),Wet/Damp,Darkness: No street lighting,Fine with high winds,Goods vehicle 7.5 tonnes mgw and over,Passenger,Slight,Male,61
140007696,440421,449246,2,2014-01-07,07:45:00,B,Wet/Damp,Daylight: Street lights present,Fine without high winds,Motorcycle over 500cc,Driver,Slight,Male,54
140008595,434258,427830,2,2014-01-07,17:15:00,A,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Driver,Slight,Female,46
140008595,434258,427830,2,2014-01-07,17:15:00,A,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Driver,Slight,Male,46
140008595,434258,427830,2,2014-01-07,17:15:00,A,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Passenger,Slight,Female,39
140007543,441116,449118,2,2014-01-07,02:40:00,A(M),Wet/Damp,Darkness: No street lighting,Fine with high winds,Goods vehicle 7.5 tonnes mgw and over,Driver,Serious,Male,41
140009642,430866,436342,1,2014-01-08,13:20:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Car,Pedestrian,Serious,Female,74
1180869,430429,431025,3,2014-01-08,14:30:00,Motorway,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Driver,Slight,Male,69
1180869,430429,431025,3,2014-01-08,14:30:00,Motorway,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Driver,Slight,Female,41
140009294,423875,434542,2,2014-01-08,07:14:00,C,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Driver,Slight,Male,45
140009950,431966,435828,1,2014-01-08,16:06:00,A,Dry,Daylight: Street lights present,Fine without high winds,Car,Pedestrian,Slight,Male,14
140009282,431510,432625,2,2014-01-08,09:05:00,A,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver,Slight,Female,25
140010271,427514,434540,1,2014-01-08,20:18:00,Unclassified,Wet/Damp,Darkness: Street lights present and lit,Raining without high winds,Car,Pedestrian,Slight,Female,33
140010271,427514,434540,1,2014-01-08,20:18:00,Unclassified,Wet/Damp,Darkness: Street lights present and lit,Raining without high winds,Car,Pedestrian,Slight,Male,37
140010225,426288,435597,1,2014-01-08,18:25:00,A,Dry,Daylight: Street lights present,Fine without high winds,Car,Pedestrian,Slight,Female,28
140012384,436093,445402,4,2014-01-09,12:45:00,A,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Driver,Slight,Male,64
140012384,436093,445402,4,2014-01-09,12:45:00,A,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Driver,Slight,Female,37
140010668,425711,429632,3,2014-01-09,07:05:00,A,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver,Slight,Male,42
140010731,433258,429625,2,2014-01-09,08:20:00,Motorway,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Driver,Slight,Male,32
140010731,433258,429625,2,2014-01-09,08:20:00,Motorway,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Driver,Slight,Male,33
140010632,437228,433426,1,2014-01-09,08:00:00,A,Dry,Daylight: Street lights present,Fine without high winds,Car,Pedestrian,Slight,Female,16
140013109,429786,430628,2,2014-01-10,09:10:00,A,Wet/Damp,Daylight: Street lights present,Fine without high winds,Motorcycle over 50cc and up to 125cc,Driver,Slight,Male,17
11A0238,424660,427582,3,2014-01-10,08:17:00,Motorway,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver,Slight,Male,35
140013081,431883,435575,2,2014-01-10,17:10:00,Unclassified,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Car,Passenger,Slight,Female,29
11A0238,424660,427582,3,2014-01-10,08:17:00,Motorway,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver,Slight,Male,25
11A0628,432917,425961,2,2014-01-10,12:20:00,Motorway,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver,Slight,Male,20
140015391,433299,436239,1,2014-01-11,21:30:00,A,Frost/Ice,Darkness: Street lights present and lit,Fine without high winds,Taxi/Private hire car,Passenger,Slight,Male,45
140015391,433299,436239,1,2014-01-11,21:30:00,A,Frost/Ice,Darkness: Street lights present and lit,Fine without high winds,Taxi/Private hire car,Passenger,Slight,Female,39
140018623,421804,439041,2,2014-01-11,11:05:00,A,Wet/Damp,Daylight: Street lights present,Fine without high winds,Pedal cycle,Driver,Slight,Male,32
140015877,425080,437515,2,2014-01-12,16:00:00,Unclassified,Dry,Daylight: Street lights present,Other,Car,Driver,Slight,Male,40
140015877,425080,437515,2,2014-01-12,16:00:00,Unclassified,Dry,Daylight: Street lights present,Other,Car,Passenger,Slight,Female,36
140016778,437499,433221,2,2014-01-12,14:30:00,A,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver,Slight,Male,31
140016335,440574,428697,2,2014-01-13,11:39:00,Unclassified,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Driver,Slight,Male,48
140016335,440574,428697,2,2014-01-13,11:39:00,Unclassified,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Pedestrian,Slight,Female,47
140016527,435691,437238,2,2014-01-13,10:25:00,Unclassified,Wet/Damp,Daylight: Street lights present,Fine without high winds,Pedal cycle,Driver,Slight,Male,47
140017611,419503,445027,2,2014-01-13,15:15:00,A,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Driver,Slight,Male,33
140053144,430673,434339,2,2014-01-13,09:10:00,Unclassified,Wet/Damp,Daylight: Street lights present,Raining without high winds,Bus or coach (17 or more passenger seats),Passenger,Slight,Female,34
140018735,428416,426096,2,2014-01-14,18:00:00,A,Dry,Darkness: Street lights present and lit,Fine without high winds,Motorcycle over 50cc and up to 125cc,Driver,Serious,Male,22
140019263,424980,445054,1,2014-01-14,09:24:00,A,Dry,Daylight: Street lights present,Fine without high winds,Goods vehicle 3.5 tonnes mgw and under,Pedestrian,Slight,Male,69
140018395,429445,437311,1,2014-01-14,15:40:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Car,Pedestrian,Slight,Female,13
140019993,434965,437846,1,2014-01-15,17:15:00,A,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Car,Pedestrian,Slight,Male,15
140020329,427559,433891,2,2014-01-15,21:35:00,Unclassified,Wet/Damp,Darkness: Street lights present and lit,Raining without high winds,Car,Driver,Slight,Male,34
140018925,431448,435821,2,2014-01-15,07:55:00,Unclassified,Wet/Damp,Daylight: Street lights present,Fine without high winds,Pedal cycle,Driver,Slight,Male,23
140019564,436473,428485,2,2014-01-15,11:55:00,A,Dry,Daylight: Street lights present,Fine without high winds,Goods vehicle 3.5 tonnes mgw and under,Passenger,Slight,Female,35
140018843,429506,437333,2,2014-01-15,02:25:00,Unclassified,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Car,Driver,Slight,Male,24
140020565,425955,426791,2,2014-01-16,07:00:00,A,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Motorcycle over 500cc,Driver,Slight,Male,43
140021485,423075,437684,4,2014-01-16,15:41:00,A,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver,Slight,Female,27
140021499,428656,430027,1,2014-01-16,15:45:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Car,Pedestrian,Slight,Male,10
140024177,437587,433164,2,2014-01-16,16:15:00,A,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver,Slight,Male,69
140020476,424929,427637,2,2014-01-16,07:40:00,A,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Driver,Slight,Male,40
140026029,431687,435738,1,2014-01-17,17:00:00,Unclassified,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Pedestrian,Slight,Female,22
140022449,423982,436710,3,2014-01-17,10:36:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver,Slight,Female,60
140022449,423982,436710,3,2014-01-17,10:36:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Car,Passenger,Slight,Male,77
140023122,425135,436550,2,2014-01-17,19:30:00,A,Wet/Damp,Darkness: Street lights present and lit,Raining without high winds,Pedal cycle,Driver,Serious,Male,33
140023192,430091,435423,2,2014-01-17,15:45:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver,Slight,Male,52
140024262,427496,425508,2,2014-01-18,12:38:00,A,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Driver,Serious,Female,94
140024559,428396,429075,2,2014-01-18,16:30:00,A,Dry,Daylight: Street lights present,Fine without high winds,Car,Passenger,Slight,Female,33
140024559,428396,429075,2,2014-01-18,16:30:00,A,Dry,Daylight: Street lights present,Fine without high winds,Car,Passenger,Slight,Female,35
140023780,428570,433358,7,2014-01-18,08:10:00,Unclassified,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Driver,Slight,Male,21
140024559,428396,429075,2,2014-01-18,16:30:00,A,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver,Slight,Female,35
140024344,436281,434705,1,2014-01-18,15:40:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Car,Pedestrian,Slight,Male,69
140024366,423751,438006,1,2014-01-18,14:15:00,Unclassified,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Pedestrian,Serious,Female,65
140024559,428396,429075,2,2014-01-18,16:30:00,A,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver,Slight,Female,33
140025518,427569,436871,2,2014-01-19,14:10:00,A,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Driver,Slight,Male,23
140025220,425328,435434,1,2014-01-19,12:30:00,Unclassified,Wet/Damp,Daylight: Street lights present,Fine without high winds,Bus or coach (17 or more passenger seats),Passenger,Slight,Female,30
140025982,427483,432592,2,2014-01-19,13:00:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver,Slight,Male,29
140027124,427431,432842,2,2014-01-20,19:09:00,Unclassified,Dry,Darkness: Street lights present and lit,Fine without high winds,Taxi/Private hire car,Driver,Slight,Male,50
140026989,432466,435818,2,2014-01-20,16:52:00,A,Dry,Darkness: Street lights present and lit,Fine without high winds,Motorcycle over 500cc,Driver,Slight,Male,40
140026423,428773,432733,2,2014-01-20,11:28:00,Unclassified,Wet/Damp,Daylight: Street lights present,Fine without high winds,Pedal cycle,Driver,Slight,Male,22
140026876,430503,434083,2,2014-01-20,01:45:00,A(M),Dry,Darkness: Street lights present and lit,Fine without high winds,Taxi/Private hire car,Passenger,Slight,Male,45
140027538,426338,438929,2,2014-01-21,07:30:00,Unclassified,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Pedal cycle,Driver,Slight,Male,51
140027777,428098,434508,1,2014-01-21,09:45:00,Unclassified,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Pedestrian,Slight,Male,79
140027800,430540,430969,2,2014-01-21,09:25:00,Unclassified,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Driver,Slight,Male,48
140027874,432395,434811,1,2014-01-21,11:20:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Car,Pedestrian,Slight,Female,28
140027800,430540,430969,2,2014-01-21,09:25:00,Unclassified,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Driver,Slight,Male,46
140037266,428370,431571,4,2014-01-22,18:10:00,Motorway,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Car,Driver,Slight,Female,35
140030345,424019,437714,2,2014-01-23,00:19:00,A,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Motorcycle over 50cc and up to 125cc,Driver,Slight,Male,18
140030969,426175,434168,2,2014-01-23,13:12:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Car,Passenger,Slight,Female,48
140031174,421124,434795,2,2014-01-23,08:45:00,Unclassified,Wet/Damp,Daylight: Street lights present,Raining without high winds,Pedal cycle,Driver,Slight,Male,9
140031185,425092,431058,2,2014-01-23,16:45:00,A,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Driver,Slight,Male,58
140031412,424290,428961,1,2014-01-23,15:30:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Bus or coach (17 or more passenger seats),Passenger,Slight,Female,80
140031560,429027,432099,2,2014-01-23,15:44:00,Unclassified,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Driver,Slight,Male,53
140031560,429027,432099,2,2014-01-23,15:44:00,Unclassified,Wet/Damp,Daylight: Street lights present,Fine without high winds,Goods vehicle 3.5 tonnes mgw and under,Driver,Slight,Male,30
